Année,Transmission,Type de carburant,Type,Secteur,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État,Prix
2010,Manuelle,Diesel,,,130 000 - 139 999,Renault,Megane 3,5.0,,Oui,6,Excellent,88000
2015,Manuelle,Diesel,,,150 000 - 159 999,Peugeot,Bipper,5.0,WW au Maroc,Non,6,Excellent,85000
2014,Manuelle,Diesel,,,140 000 - 149 999,Fiat,Doblo,5.0,WW au Maroc,Oui,5,Bon,71000
2006,Manuelle,Diesel,,,170 000 - 179 999,Nissan,Pathfinder,5.0,,,10,Excellent,104000
2009,Manuelle,Diesel,,Diour 10000,150 000 - 159 999,Seat,Leon,5.0,Dédouanée,Non,8,Très bon,100000
2011,Manuelle,Essence,,,80 000 - 84 999,Renault,Megane 3,5.0,WW au Maroc,,9,Excellent,83000
2019,Manuelle,Diesel,,,70 000 - 74 999,Opel,Crossland X,5.0,WW au Maroc,,6,Très bon,159000
2018,Manuelle,Diesel,,,80 000 - 84 999,Fiat,FIORINO,5.0,WW au Maroc,Non,5,Excellent,92000
2011,Automatique,Diesel,,Hassan,160 000 - 169 999,BMW,Serie 3 coupé,3.0,WW au Maroc,Non,8,Très bon,145000
2019,Manuelle,Diesel,,Wislane,95 000 - 99 999,Dacia,Logan,,,,6,,106000
2009,Automatique,Diesel,,,250 000 - 299 999,Volkswagen,PASSAT CC,5.0,Importée neuve,Non,8,Excellent,122000
1992,Manuelle,Diesel,,,45 000 - 49 999,Mercedes-Benz,190,5.0,Dédouanée,Non,8,Très bon,70000
2018,Automatique,Diesel,,,80 000 - 84 999,Volkswagen,PASSAT CC,5.0,WW au Maroc,,8,Bon,255000
2006,Automatique,Diesel,,,250 000 - 299 999,Volkswagen,Touareg,5.0,Importée neuve,,10,Très bon,65000
2013,Manuelle,Diesel,,,190 000 - 199 999,Renault,Kangoo,,WW au Maroc,Non,6,Bon,100000
2011,Manuelle,Diesel,,,120 000 - 129 999,Ford,Kuga,5.0,WW au Maroc,Non,8,Très bon,112000
2014,Manuelle,Diesel,,Centre ville,10 000 - 14 999,Volkswagen,GOLF 7,5.0,Dédouanée,Oui,9,Excellent,185000
2014,Automatique,Diesel,,Centre Ville,180 000 - 189 999,Volkswagen,Passat,5.0,WW au Maroc,,8,Très bon,160000
2003,Manuelle,Diesel,,,300 000 - 349 999,Volkswagen,Passat,5.0,WW au Maroc,,8,Très bon,62000
2013,Manuelle,Diesel,,,0 - 4 999,Renault,Kangoo,5.0,WW au Maroc,Oui,6,Excellent,86000
2018,Manuelle,Diesel,,Aïn Sebaâ,50 000 - 54 999,Renault,Master,5.0,WW au Maroc,Oui,8,Très bon,165000
2008,Manuelle,Diesel,,,190 000 - 199 999,Hyundai,Accent,5.0,WW au Maroc,,6,Excellent,68000
2006,Manuelle,Diesel,,,200 000 - 249 999,Ford,Focus,5.0,,,6,,67000
2011,Automatique,Diesel,,2 Mars,170 000 - 179 999,Audi,A6,5.0,WW au Maroc,Non,8,Bon,160000
2005,Manuelle,Diesel,,Quartier Aérodrome,300 000 - 349 999,Opel,Astra,5.0,WW au Maroc,Non,7,Très bon,63000
2009,Manuelle,Diesel,,Bourgogne,200 000 - 249 999,Volkswagen,GOLF 6,5.0,Dédouanée,Non,8,Excellent,143000
2008,Automatique,Essence,,,120 000 - 129 999,BMW,Serie 3,3.0,Importée neuve,,14,Très bon,90000
2016,Manuelle,Diesel,,2 Mars,100 000 - 109 999,Renault,Clio,5.0,,Non,6,Excellent,103000
2009,Automatique,Diesel,,Al Boustane,250 000 - 299 999,Volkswagen,Touareg,,WW au Maroc,Non,10,Bon,85000
2014,Manuelle,Diesel,,Autre secteur,150 000 - 159 999,Renault,Clio,5.0,WW au Maroc,Non,6,Très bon,103000
2007,Manuelle,Diesel,,,200 000 - 249 999,Volkswagen,GOLF 5,5.0,Dédouanée,Non,8,Excellent,95000
2012,Manuelle,Diesel,,Lakhmis,190 000 - 199 999,Opel,Astra,,WW au Maroc,,7,Très bon,95000
2018,Manuelle,Diesel,,,180 000 - 189 999,Dacia,Dokker,5.0,,,6,Très bon,98000
2017,Manuelle,Diesel,,,90 000 - 94 999,Ford,Kuga,5.0,WW au Maroc,Oui,8,Très bon,175000
2011,Manuelle,Essence,,,190 000 - 199 999,Peugeot,206+,5.0,WW au Maroc,Non,6,Très bon,60000
2008,Manuelle,Diesel,,Benmsik,190 000 - 199 999,Volkswagen,GOLF 5,5.0,Dédouanée,Oui,8,Excellent,105000
2016,Manuelle,Diesel,,Hassan,120 000 - 129 999,Ford,Focus,,,,7,Bon,137000
2014,Automatique,Diesel,,Hassan,120 000 - 129 999,Land Rover,Range Rover Sport,5.0,Importée neuve,Oui,12,Très bon,390000
2014,Manuelle,Diesel,,Toute la ville,300 000 - 349 999,Dacia,Dokker,5.0,WW au Maroc,Non,6,Bon,100000
2019,Manuelle,Diesel,,Hay Al Massar,90 000 - 94 999,Hyundai,Accent,,WW au Maroc,Oui,6,Très bon,118000
2022,Manuelle,Essence,,La Cigogne,0 - 4 999,Seat,Ibiza,5.0,WW au Maroc,Oui,6,Excellent,145000
2019,Automatique,Diesel,,Al Qods,35 000 - 39 999,Renault,Koleos,5.0,WW au Maroc,,8,Excellent,250000
2011,Manuelle,Diesel,,Autre secteur,180 000 - 189 999,Citroen,C4,5.0,WW au Maroc,Non,6,Très bon,95000
2012,Automatique,Diesel,,Agdal,200 000 - 249 999,BMW,Serie 5,5.0,WW au Maroc,Oui,8,Excellent,190000
2012,Automatique,Diesel,,,160 000 - 169 999,Hyundai,ix 35,5.0,WW au Maroc,Non,8,Très bon,130000
2010,Manuelle,Diesel,,,130 000 - 139 999,Hyundai,Santa Fe,5.0,Dédouanée,,9,Excellent,128000
2018,Manuelle,Diesel,,Hay Salam,60 000 - 64 999,Peugeot,208,5.0,WW au Maroc,Oui,6,,132000
2005,Manuelle,Diesel,,,0 - 4 999,Renault,Grand Scenic,5.0,WW au Maroc,Non,6,Excellent,68000
2018,Automatique,Diesel,,Hay Nahda,110 000 - 119 999,BMW,Serie 4 gran coupé,5.0,WW au Maroc,Non,8,Très bon,275000
2015,Manuelle,Diesel,,,180 000 - 189 999,Volkswagen,Touran,5.0,Dédouanée,,6,,210000
2012,Automatique,Diesel,,,10 000 - 14 999,Chevrolet,TRANS SPORT,5.0,,Oui,8,Très bon,95000
2020,Manuelle,Diesel,,Tanmiya,30 000 - 34 999,Renault,Clio,5.0,WW au Maroc,Oui,6,Très bon,120700
2012,Manuelle,Essence,,Autre secteur,160 000 - 169 999,Peugeot,Tepee,5.0,WW au Maroc,Oui,6,Excellent,82000
2017,Manuelle,Diesel,,,110 000 - 119 999,Seat,Leon,5.0,WW au Maroc,Oui,6,Excellent,147000
2017,Manuelle,Diesel,,,60 000 - 64 999,Peugeot,Tepee,5.0,Importée neuve,Oui,6,Excellent,135000
2017,Manuelle,Diesel,,,150 000 - 159 999,Dacia,Dokker,5.0,WW au Maroc,Oui,6,Très bon,106000
2012,Manuelle,Diesel,,,200 000 - 249 999,Renault,Kangoo,5.0,WW au Maroc,Non,6,Bon,80000
2013,Manuelle,Diesel,,Toute la ville,180 000 - 189 999,Volkswagen,GOLF 7,5.0,Dédouanée,Non,6,Excellent,147000
2010,Manuelle,Diesel,,Toute la ville,250 000 - 299 999,Volkswagen,Jetta,5.0,Importée neuve,Non,8,Très bon,110000
2010,Manuelle,Diesel,,,200 000 - 249 999,Volkswagen,GOLF 6,5.0,Dédouanée,Non,6,Très bon,119000
2019,Automatique,Diesel,,Hassan,65 000 - 69 999,Audi,Q7,5.0,WW au Maroc,Non,12,Excellent,510000
2015,Manuelle,Diesel,,,110 000 - 119 999,Citroen,C4,5.0,WW au Maroc,Non,6,Bon,108000
2011,Manuelle,Diesel,,Maarif,130 000 - 139 999,Alfa Romeo,Giulietta,5.0,WW au Maroc,Non,8,Très bon,108000
2007,Automatique,Diesel,,Abbadi,180 000 - 189 999,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,8,Bon,132000
2018,Manuelle,Diesel,,,90 000 - 94 999,Peugeot,208,5.0,WW au Maroc,Non,7,Très bon,110000
2014,Automatique,Diesel,,Saies,170 000 - 179 999,Mercedes-Benz,Classe C,5.0,Dédouanée,Oui,9,,220000
2021,Manuelle,Essence,,Aïn Sebaâ,10 000 - 14 999,Volkswagen,Polo,5.0,WW au Maroc,Oui,6,Excellent,160000
2017,Manuelle,Diesel,,,140 000 - 149 999,Peugeot,Tepee,5.0,WW au Maroc,,6,,97000
2000,Manuelle,Diesel,,Toute la ville,0 - 4 999,Citroen,Jumper,5.0,WW au Maroc,Non,8,Très bon,65000
2009,Automatique,Diesel,,,200 000 - 249 999,Mercedes-Benz,Classe C,5.0,WW au Maroc,Non,9,Très bon,123000
2005,Automatique,Diesel,,Al aroui,25 000 - 29 999,Mercedes-Benz,Classe C,5.0,Dédouanée,Non,8,Très bon,130000
2021,Automatique,Diesel,,,0 - 4 999,Nissan,Qashqai,5.0,WW au Maroc,Oui,6,Excellent,275000
2010,Automatique,Diesel,,,200 000 - 249 999,Audi,A4,5.0,Dédouanée,Non,8,Très bon,165000
2007,Automatique,Diesel,,Aïn Chock,190 000 - 199 999,Mercedes-Benz,CLASSE ML,5.0,Dédouanée,Non,6,Excellent,120000
2016,Manuelle,Diesel,,Wislane,140 000 - 149 999,Renault,Kangoo,5.0,WW au Maroc,Oui,6,Très bon,108000
2013,Manuelle,Diesel,,,120 000 - 129 999,Hyundai,Santa Fe,5.0,WW au Maroc,Non,8,Excellent,160000
2005,Automatique,Diesel,,,65 000 - 69 999,Peugeot,205,5.0,WW au Maroc,Non,8,Excellent,60000
2017,Manuelle,Diesel,,Daoudiate,190 000 - 199 999,Skoda,Octavia,5.0,WW au Maroc,Non,8,Excellent,168000
2016,Automatique,Diesel,,,110 000 - 119 999,Audi,Q5,5.0,Dédouanée,Non,8,Excellent,370000
2019,Manuelle,Diesel,,,100 000 - 109 999,Peugeot,208,5.0,WW au Maroc,Oui,6,Excellent,133000
2008,Manuelle,Diesel,,Oulfa,180 000 - 189 999,Volkswagen,Touareg,,Dédouanée,,12,Excellent,73000
2019,Manuelle,Essence,,Narjis,95 000 - 99 999,Hyundai,i 20,,WW au Maroc,Oui,7,,115000
2014,Manuelle,Diesel,,Toute la ville,170 000 - 179 999,Hyundai,Accent,5.0,WW au Maroc,Non,6,Excellent,93000
2008,Automatique,Diesel,,La Prairie,190 000 - 199 999,Audi,Q7,5.0,Importée neuve,Oui,12,Très bon,197000
2005,Manuelle,Diesel,,,40 000 - 44 999,Renault,Kangoo,,,,6,,67000
2009,Automatique,Diesel,,Oulfa,200 000 - 249 999,Seat,Leon,5.0,Dédouanée,Non,8,Très bon,85000
2017,Automatique,Diesel,,,5 000 - 9 999,Audi,A5,5.0,Pas encore dédouanée,Oui,8,Excellent,310000
2010,Manuelle,Diesel,,,5 000 - 9 999,Renault,Kangoo,5.0,WW au Maroc,Non,6,Excellent,83000
2019,Manuelle,Diesel,,,95 000 - 99 999,Citroen,C3,5.0,WW au Maroc,Non,6,Excellent,129000
2018,Manuelle,Diesel,,,25 000 - 29 999,Seat,Ibiza,5.0,WW au Maroc,Oui,6,,132000
2017,Automatique,Diesel,,Hay Hassani,190 000 - 199 999,Volkswagen,PASSAT CC,5.0,WW au Maroc,Oui,8,Excellent,215000
2001,Automatique,Diesel,,,30 000 - 34 999,Mercedes-Benz,220,5.0,Dédouanée,Non,9,Bon,66000
2015,Manuelle,Diesel,,Hay Mohammadi,150 000 - 159 999,Volkswagen,PASSAT CC,5.0,WW au Maroc,Non,8,Excellent,160000
2016,Manuelle,Diesel,,,100 000 - 109 999,Renault,Clio,5.0,WW au Maroc,Non,7,Très bon,90000
1999,Manuelle,Diesel,,,20 000 - 24 999,Volkswagen,GOLF 4,5.0,Dédouanée,Non,8,Excellent,68000
2008,Automatique,Diesel,,Aïn Diab,140 000 - 149 999,Volkswagen,Touareg,5.0,WW au Maroc,,12,Très bon,83000
2017,Automatique,Diesel,,Aïn Sebaâ,150 000 - 159 999,Audi,A4,5.0,Dédouanée,Oui,8,Très bon,259000
2008,Manuelle,Diesel,,Sidi Bernoussi,300 000 - 349 999,Toyota,Corolla,,,,5,,79000
2010,Manuelle,Diesel,,,190 000 - 199 999,Dacia,Logan,5.0,WW au Maroc,Non,6,Très bon,67000
2018,Automatique,Diesel,,Centre,5 000 - 9 999,Volkswagen,GOLF 7,5.0,Dédouanée,Oui,9,Très bon,330000
2005,Manuelle,Diesel,,Aïn Chock,80 000 - 84 999,Skoda,Octavia,5.0,,Non,8,Très bon,71000
2018,Manuelle,Diesel,,Oued Fès,90 000 - 94 999,Dacia,Dokker,,,,6,,90000
2005,Manuelle,Diesel,,,200 000 - 249 999,Renault,Megane,5.0,WW au Maroc,Non,6,Très bon,63000
2016,Manuelle,Diesel,,,250 000 - 299 999,Citroen,Berlingo,5.0,WW au Maroc,Non,7,Excellent,112000
2018,Manuelle,Diesel,,Hay Lazaret,90 000 - 94 999,Fiat,TIPO,,,,6,,145000
2009,Manuelle,Diesel,,,30 000 - 34 999,Renault,Kangoo,,,,7,Bon,68000
2016,Automatique,Diesel,,Centre Ville,150 000 - 159 999,Mercedes-Benz,CLASSE GLK,,Dédouanée,Oui,9,Excellent,280000
2011,Manuelle,Diesel,,,170 000 - 179 999,Peugeot,308,5.0,Importée neuve,Oui,6,Excellent,95000
2018,Manuelle,Diesel,,Aïn Sebaâ,80 000 - 84 999,Renault,Kangoo,5.0,WW au Maroc,Oui,6,Très bon,120000
2001,Automatique,Diesel,,,10 000 - 14 999,Mercedes-Benz,220,5.0,,,9,,90000
2009,Manuelle,Diesel,,,200 000 - 249 999,Renault,Kangoo,5.0,WW au Maroc,Non,6,Très bon,66000
2017,Manuelle,Diesel,,Sidi Maarouf,95 000 - 99 999,Dacia,Dokker,5.0,WW au Maroc,Non,6,Très bon,110000
2019,Automatique,Diesel,,Anfa,55 000 - 59 999,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Oui,8,Excellent,355000
2019,Automatique,Essence,,2 Mars,45 000 - 49 999,Ford,Mustang,3.0,Dédouanée,Oui,13,Excellent,370000
2016,Manuelle,Essence,,,170 000 - 179 999,Renault,Kangoo,5.0,WW au Maroc,Non,6,Excellent,125000
2019,Manuelle,Diesel,,Hay Chabab,100 000 - 109 999,Renault,Megane,5.0,,,6,,180000
2011,Manuelle,Diesel,,Toute la ville,200 000 - 249 999,Ford,Kuga,5.0,WW au Maroc,Non,8,Excellent,116000
2017,Automatique,Diesel,,,100 000 - 109 999,Hyundai,Santa Fe,5.0,WW au Maroc,Oui,9,Excellent,255000
2011,Manuelle,Diesel,,,110 000 - 119 999,Hyundai,ix 35,5.0,,,8,Bon,120000
2003,Automatique,Diesel,,,60 000 - 64 999,Land Rover,Freelander,5.0,WW au Maroc,Non,8,Excellent,75000
2007,Manuelle,Diesel,,Wifak,250 000 - 299 999,Volkswagen,Polo,5.0,WW au Maroc,Non,8,Très bon,63000
2016,Manuelle,Diesel,,Al Wifaq,140 000 - 149 999,Ford,Fiesta,,,,6,,96000
2014,Manuelle,Diesel,,Aïn Sebaâ,140 000 - 149 999,Skoda,RAPID,5.0,WW au Maroc,Oui,6,Très bon,113000
2014,Manuelle,Diesel,,Anfa,150 000 - 159 999,BMW,Serie 4,,,,8,,280000
2018,Manuelle,Diesel,,Anfa,100 000 - 109 999,Land Rover,Range Rover Evoque,,,,8,,332000
2014,Automatique,Diesel,,Maarif,90 000 - 94 999,Renault,Megane,5.0,WW au Maroc,Oui,6,Excellent,120000
2007,Manuelle,Diesel,,,200 000 - 249 999,Ford,Focus,5.0,WW au Maroc,Non,7,Bon,77000
2015,Manuelle,Diesel,,Sidi Bernoussi,140 000 - 149 999,Volkswagen,PASSAT CC,5.0,WW au Maroc,Non,8,Excellent,161000
2009,Manuelle,Essence,,Marjane 2,100 000 - 109 999,Volkswagen,Polo,,,,8,,77500
2019,Manuelle,Diesel,,,120 000 - 129 999,Nissan,Micra,5.0,WW au Maroc,Oui,6,Excellent,120000
2016,Automatique,Diesel,,,0 - 4 999,Renault,Fluence,5.0,WW au Maroc,Oui,6,Excellent,140000
2017,Manuelle,Diesel,,,110 000 - 119 999,Dacia,Dokker,5.0,WW au Maroc,Oui,6,Très bon,112000
2009,Automatique,Diesel,,Hassan,150 000 - 159 999,BMW,X3,5.0,WW au Maroc,Non,8,Très bon,105000
2014,Manuelle,Diesel,,,60 000 - 64 999,Toyota,Auris,5.0,,,6,,125000
2017,Manuelle,Diesel,,Anfa,120 000 - 129 999,Dacia,Dokker,5.0,WW au Maroc,Oui,6,Très bon,75000
2009,Manuelle,Diesel,,Ben Souda,10 000 - 14 999,Peugeot,Partner,5.0,WW au Maroc,Non,7,Excellent,65000
2008,Automatique,Essence,,,160 000 - 169 999,Audi,A5,3.0,,Non,11,Très bon,95000
2018,Automatique,Diesel,,Agdal,70 000 - 74 999,Peugeot,3008,5.0,WW au Maroc,Oui,7,Excellent,210000
2009,Manuelle,Diesel,,Aïn Chock,110 000 - 119 999,Mercedes-Benz,Classe B,5.0,WW au Maroc,Non,8,Bon,86000
2013,Manuelle,Diesel,,Quartier de l'Océan,130 000 - 139 999,Peugeot,208,,WW au Maroc,Non,6,Bon,83000
2011,Manuelle,Diesel,,,130 000 - 139 999,Peugeot,206+,5.0,,,6,Excellent,70000
2018,Manuelle,Diesel,,,120 000 - 129 999,Mercedes-Benz,CITAN,5.0,WW au Maroc,Oui,6,Excellent,160000
1997,Manuelle,Diesel,,,300 000 - 349 999,Mercedes-Benz,250,5.0,Dédouanée,Non,10,Très bon,63000
2015,Manuelle,Diesel,,,150 000 - 159 999,Dacia,Dokker,5.0,WW au Maroc,Non,6,Très bon,92000
2008,Manuelle,Diesel,,,250 000 - 299 999,Kia,Sportage,,,,8,,70000
2013,Automatique,Diesel,,2 Mars,150 000 - 159 999,Land Rover,Range Rover Evoque,5.0,WW au Maroc,Non,9,Excellent,237000
2018,Manuelle,Diesel,,Hamria,85 000 - 89 999,Hyundai,Tucson,5.0,WW au Maroc,Oui,7,Excellent,235000
2019,Automatique,Diesel,,,15 000 - 19 999,Hyundai,Accent,5.0,WW au Maroc,Oui,6,Excellent,163000
2015,Manuelle,Diesel,,,50 000 - 54 999,Dacia,Logan,5.0,WW au Maroc,Oui,6,Excellent,97000
2021,Automatique,Diesel,,Autre secteur,50 000 - 54 999,Citroen,C4 CACTUS,5.0,WW au Maroc,Oui,6,Excellent,185000
2012,Manuelle,Diesel,,,15 000 - 19 999,Hyundai,Accent,5.0,WW au Maroc,Non,6,Très bon,90000
2009,Manuelle,Essence,,Av Abdelkrim El Khattabi,45 000 - 49 999,Toyota,Yaris,5.0,WW au Maroc,Non,6,Excellent,68000
2007,Manuelle,Diesel,,,200 000 - 249 999,Renault,Kangoo,5.0,,Non,7,,62000
2014,Automatique,Diesel,,,15 000 - 19 999,Renault,Clio,5.0,WW au Maroc,Non,6,Très bon,107000
2015,Automatique,Diesel,,,120 000 - 129 999,Ford,Fusion,5.0,WW au Maroc,,8,,179000
2017,Automatique,Diesel,,,130 000 - 139 999,Hyundai,i 40,5.0,WW au Maroc,,7,Excellent,180000
2016,Manuelle,Diesel,,,140 000 - 149 999,Fiat,Doblo,5.0,WW au Maroc,Non,6,Très bon,95000
2009,Automatique,Diesel,,Toute la ville,200 000 - 249 999,Jeep,Grand Cherokee,5.0,WW au Maroc,Non,12,Très bon,76000
2014,Manuelle,Diesel,,,200 000 - 249 999,Citroen,Berlingo,5.0,Importée neuve,Non,6,Très bon,125000
2013,Manuelle,Diesel,,Hassan,300 000 - 349 999,Peugeot,308,5.0,WW au Maroc,Oui,7,Très bon,100000
2008,Manuelle,Diesel,,,0 - 4 999,Volkswagen,Passat,5.0,WW au Maroc,Non,8,Très bon,90000
2016,Manuelle,Diesel,,Hivernage,90 000 - 94 999,Jeep,Wrangler,5.0,,,11,Excellent,286000
2008,Manuelle,Essence,,Centre ville,75 000 - 79 999,BMW,CABRIOLET,3.0,Importée neuve,Non,11,Excellent,135000
2010,Manuelle,Essence,,,130 000 - 139 999,Ford,Fiesta,5.0,WW au Maroc,Oui,6,Bon,70000
2000,Manuelle,Diesel,,Toute la ville,0 - 4 999,Volkswagen,GOLF 4,5.0,Dédouanée,Non,7,Très bon,76000
2016,Manuelle,Diesel,,,95 000 - 99 999,Volkswagen,Tiguan,5.0,Dédouanée,Oui,8,Excellent,235000
2009,Manuelle,Diesel,,,45 000 - 49 999,Dacia,Logan,,,,6,,63000
2018,Automatique,Diesel,,,75 000 - 79 999,Hyundai,Elantra,5.0,WW au Maroc,Non,6,Excellent,158000
2004,Manuelle,Diesel,,,90 000 - 94 999,Mercedes-Benz,Classe C,5.0,,Non,9,,125000
2015,Manuelle,Diesel,,Quartier de l'Océan,70 000 - 74 999,Citroen,C-ELYSEE,5.0,WW au Maroc,Non,6,Excellent,91000
2020,Manuelle,Diesel,,Val Fleuri,50 000 - 54 999,Dacia,Duster,5.0,WW au Maroc,Oui,6,Excellent,182000
2016,Automatique,Diesel,,Oulfa,120 000 - 129 999,Hyundai,i 30,5.0,WW au Maroc,Oui,6,Excellent,145000
2015,Manuelle,Diesel,,,0 - 4 999,Dacia,Dokker,5.0,WW au Maroc,Non,6,Bon,78500
2010,Manuelle,Diesel,,,160 000 - 169 999,Toyota,Auris,,,,5,,91000
2005,Manuelle,Diesel,,Hay Essalam,250 000 - 299 999,Opel,Astra,5.0,WW au Maroc,Oui,7,Excellent,63000
2017,Automatique,Diesel,,Oulfa,20 000 - 24 999,Mercedes-Benz,Classe C,5.0,Importée neuve,Oui,9,Excellent,480000
2016,Manuelle,Diesel,,,170 000 - 179 999,Audi,A3,5.0,Dédouanée,Non,6,Excellent,215000
2016,Manuelle,Diesel,,Toute la ville,120 000 - 129 999,Renault,Kangoo,5.0,WW au Maroc,Oui,6,Excellent,123000
2017,Manuelle,Diesel,,Azzouzia,110 000 - 119 999,Hyundai,CRETA,5.0,WW au Maroc,Oui,6,Excellent,158000
2017,Manuelle,Diesel,,,80 000 - 84 999,Dacia,Sandero,5.0,,,5,,105000
2018,Automatique,Diesel,,Centre,100 000 - 109 999,Skoda,Octavia,5.0,WW au Maroc,Non,8,Excellent,193000
2013,Automatique,Essence,,,150 000 - 159 999,Volkswagen,Polo,5.0,WW au Maroc,Oui,6,Très bon,98000
2018,Automatique,Diesel,,Centre,100 000 - 109 999,Skoda,Octavia,5.0,WW au Maroc,Non,8,Excellent,193000
2016,Manuelle,Diesel,,El Houda,95 000 - 99 999,Alfa Romeo,Giulietta,5.0,WW au Maroc,Non,6,Très bon,154000
2007,Manuelle,Diesel,,,200 000 - 249 999,Nissan,Qashqai,,Dédouanée,,6,,108000
2013,Manuelle,Essence,,Es Saada,170 000 - 179 999,Ford,Fiesta,5.0,WW au Maroc,Oui,5,Très bon,73000
2013,Manuelle,Diesel,,Les Cretes,200 000 - 249 999,Volkswagen,Passat,5.0,WW au Maroc,Oui,8,Très bon,137000
2014,Automatique,Diesel,,,190 000 - 199 999,BMW,Serie 3,5.0,WW au Maroc,Non,8,Très bon,210000
2016,Manuelle,Diesel,,,250 000 - 299 999,Ford,Transit,3.0,WW au Maroc,Non,10,Très bon,180000
2014,Manuelle,Essence,,,95 000 - 99 999,Suzuki,Swift,5.0,,,7,Très bon,72000
2017,Manuelle,Diesel,,,70 000 - 74 999,Dacia,Duster,5.0,WW au Maroc,Non,6,Excellent,125000
2009,Manuelle,Diesel,,,15 000 - 19 999,Citroen,C4,5.0,WW au Maroc,Non,6,Bon,69000
2014,Manuelle,Diesel,,Village,200 000 - 249 999,Ford,Ranger,5.0,WW au Maroc,Non,10,Très bon,138000
2014,Automatique,Diesel,,,130 000 - 139 999,Audi,A1,5.0,WW au Maroc,Oui,6,Bon,165000
2013,Manuelle,Diesel,,,150 000 - 159 999,Audi,Q5,,,,12,,270000
2014,Manuelle,Diesel,,,100 000 - 109 999,Volkswagen,Polo,5.0,WW au Maroc,Oui,5,Excellent,109000
2010,Manuelle,Diesel,,Hassan,200 000 - 249 999,Seat,Ibiza,5.0,WW au Maroc,Non,6,Très bon,78000
2017,Manuelle,Diesel,,,65 000 - 69 999,Dacia,Logan,5.0,WW au Maroc,Non,6,Excellent,98000
2010,Automatique,Diesel,,Sbata,160 000 - 169 999,Volkswagen,Polo,5.0,Dédouanée,Oui,6,Excellent,110000
2016,Manuelle,Diesel,,,150 000 - 159 999,Citroen,C-Elysée,5.0,WW au Maroc,Oui,6,Bon,95000
2011,Manuelle,Diesel,,Annakhil,160 000 - 169 999,Fiat,Punto,5.0,WW au Maroc,Non,5,Très bon,72000
2011,Automatique,Diesel,,,150 000 - 159 999,Mercedes-Benz,250,5.0,,Oui,9,Excellent,198000
2011,Manuelle,Diesel,,,190 000 - 199 999,Dacia,Duster,5.0,WW au Maroc,Non,6,Excellent,88000
2019,Manuelle,Diesel,,Aïn Chock,45 000 - 49 999,Renault,Clio,5.0,WW au Maroc,Oui,6,Excellent,135000
2009,Manuelle,Diesel,,,250 000 - 299 999,Peugeot,308,5.0,WW au Maroc,Non,6,Excellent,85000
2013,Manuelle,Essence,,,120 000 - 129 999,Renault,Clio,3.0,WW au Maroc,Oui,14,Excellent,100000
2020,Manuelle,Diesel,,,0 - 4 999,Citroen,C3,5.0,WW au Maroc,Oui,6,Excellent,148000
2004,Automatique,Diesel,,Marjane 2,300 000 - 349 999,Volkswagen,GOLF 5,5.0,Dédouanée,Non,8,Bon,80000
2017,Automatique,Diesel,,Oued Fès,110 000 - 119 999,Peugeot,308,5.0,WW au Maroc,Oui,6,,142000
2003,Manuelle,Diesel,,,400 000 - 449 999,Volkswagen,GOLF 4,5.0,Dédouanée,Non,8,Excellent,76000
2001,Automatique,Diesel,,,30 000 - 34 999,Mercedes-Benz,220,5.0,Dédouanée,Non,9,Excellent,85000
2014,Automatique,Diesel,,,200 000 - 249 999,Mercedes-Benz,Classe C,,Dédouanée,,9,,290000
2012,Manuelle,Diesel,,,170 000 - 179 999,Volkswagen,GOLF 6,5.0,WW au Maroc,Non,6,Excellent,118000
2018,Manuelle,Diesel,,Aïn Chock,75 000 - 79 999,Citroen,C3,5.0,WW au Maroc,Non,6,Très bon,119000
2017,Manuelle,Diesel,,Oulfa,85 000 - 89 999,Seat,Leon,5.0,WW au Maroc,Oui,6,Excellent,150000
2012,Automatique,Diesel,,,170 000 - 179 999,BMW,X5,,Dédouanée,,12,Très bon,120000
2011,Manuelle,Diesel,,,130 000 - 139 999,BMW,Serie 5,5.0,WW au Maroc,Non,8,Excellent,162000
2018,Manuelle,Diesel,,,80 000 - 84 999,Ford,Focus,5.0,WW au Maroc,,6,Excellent,148000
2015,Manuelle,Diesel,,,0 - 4 999,Skoda,RAPID,5.0,WW au Maroc,Oui,6,Très bon,105000
2008,Automatique,Diesel,,,180 000 - 189 999,Audi,A3,5.0,,,8,,120000
2010,Automatique,Diesel,,,140 000 - 149 999,Mercedes-Benz,220,5.0,WW au Maroc,,9,Excellent,139000
2016,Automatique,Diesel,,Anfa,60 000 - 64 999,BMW,Serie 4 coupé,3.0,WW au Maroc,Oui,8,Excellent,365000
2013,Manuelle,Diesel,,,140 000 - 149 999,Jeep,Compass,5.0,,,9,Très bon,130000
2015,Manuelle,Diesel,,,160 000 - 169 999,Fiat,Doblo,5.0,WW au Maroc,Non,5,Très bon,70000
2014,Automatique,Diesel,,,160 000 - 169 999,Volkswagen,GOLF 7,5.0,,Oui,8,Très bon,225000
2012,Manuelle,Diesel,,,150 000 - 159 999,Peugeot,508,5.0,WW au Maroc,Non,6,,108000
2014,Manuelle,Diesel,,,120 000 - 129 999,Volkswagen,Tiguan,,,,8,Excellent,183000
